customer_id,tenure_months,num_vehicles,avg_card_swipes_per_vehicle,monthly_txn_count,monthly_spend,contract_type,region,fuel_program_tier,maintenance_plan,telematics_enabled,industry_naics,late_payment_rate,support_tickets_last_90d,downtime_hours_last_30d,churn
C300022,11,19,39.16,849,49193.53,Month-to-Month,South,Standard,None,0,Manufacturing,0.063,1,10.59,1
C300023,37,15,36.54,593,33625.8,Month-to-Month,South,Premium,Basic,0,Retail,0.125,1,0.41,0
C300024,32,11,57.15,570,47969.62,Month-to-Month,West,Standard,None,0,Retail,0.264,4,3.01,0
C300025,48,17,34.26,651,52182.46,Month-to-Month,South,Basic,None,1,Manufacturing,0.069,1,5.04,1
C300026,71,13,37.26,458,31539.73,Month-to-Month,Midwest,Premium,Basic,1,Logistics,0.203,1,5.32,0
C300027,20,18,46.14,671,60974.05,Month-to-Month,South,Standard,None,1,Manufacturing,0.193,2,4.56,1
C300028,61,5,49.26,198,14762.6,Month-to-Month,Midwest,Standard,None,0,Logistics,0.119,3,2.95,1
C300029,10,26,47.19,1236,100778.45,One Year,Northeast,Premium,None,0,Logistics,0.032,1,6.05,0
C300030,25,9,29.7,244,19210.61,Month-to-Month,West,Basic,Basic,0,Construction,0.144,4,3.12,1
C300031,56,18,33.95,618,68185.46,One Year,South,Basic,None,1,Services,0.092,3,4.27,0
C300032,18,15,23.57,352,20980.85,One Year,Northeast,Standard,Basic,1,Logistics,0.236,3,3.26,0
C300033,48,19,21.06,406,45588.59,Two Year,West,Standard,Full,1,Services,0.068,1,5.32,0
C300034,33,15,27.52,404,25519.59,Month-to-Month,West,Basic,Full,1,Manufacturing,0.123,1,15.04,0
C300035,37,15,49.17,758,60644.52,One Year,West,Standard,Basic,0,Services,0.147,2,6.07,0
C300036,67,19,40.42,677,32748.38,One Year,Midwest,Standard,None,0,Services,0.139,1,2.97,0
C300037,58,19,21.22,474,30614.6,Month-to-Month,West,Basic,Full,0,Retail,0.247,2,0.08,1
C300038,60,17,42.26,821,23174.5,Month-to-Month,Midwest,Basic,Basic,1,Services,0.274,2,1.92,0
C300039,39,21,42.78,746,76855.3,Month-to-Month,West,Standard,Full,0,Services,0.152,1,2.13,0
C300040,70,17,65.58,1098,52876.32,One Year,West,Premium,None,1,Retail,0.205,0,2.55,0
C300041,70,22,52.83,964,90974.42,One Year,South,Standard,None,0,Logistics,0.188,3,2.99,1
C300042,10,15,50.92,697,62400.44,Month-to-Month,West,Basic,None,0,Manufacturing,0.268,3,6.15,1
C300043,15,17,67.03,1212,132411.03,Month-to-Month,West,Standard,None,1,Logistics,0.17,2,9.0,1
C300044,22,20,53.44,1279,58489.85,Month-to-Month,West,Standard,Basic,0,Retail,0.11,2,0.63,0
C300045,40,17,33.34,578,44504.63,Two Year,Midwest,Basic,None,0,Retail,0.128,3,5.13,0
C300046,59,15,30.89,493,31787.24,One Year,West,Standard,None,0,Logistics,0.065,1,3.31,0
C300047,35,10,63.66,518,36669.44,Month-to-Month,South,Standard,Basic,0,Logistics,0.136,1,4.37,0
C300048,70,11,69.4,789,60074.04,Two Year,West,Standard,None,0,Services,0.182,1,2.39,0
C300049,26,18,63.51,1016,82775.96,Month-to-Month,West,Basic,Full,0,Manufacturing,0.175,2,10.92,0
C300050,66,16,65.51,989,109725.81,Month-to-Month,Northeast,Basic,None,0,Logistics,0.14,5,4.65,0
C300051,43,16,73.63,1252,114881.11,Month-to-Month,Midwest,Standard,Full,0,Retail,0.235,1,0.0,0
C300052,52,13,61.17,681,43664.09,Month-to-Month,Midwest,Standard,Basic,0,Retail,0.116,2,3.76,0
C300053,17,15,41.41,650,41121.79,Two Year,South,Standard,None,0,Construction,0.099,5,2.72,0
C300054,43,13,43.75,457,28639.61,Month-to-Month,West,Premium,Basic,1,Services,0.073,1,2.84,0
C300055,57,21,43.23,777,54969.92,Two Year,West,Basic,None,1,Services,0.133,1,9.56,1
C300056,63,13,41.11,608,36237.35,One Year,South,Basic,None,0,Logistics,0.103,2,3.77,1
C300057,62,13,37.74,455,52020.42,Month-to-Month,West,Standard,Basic,1,Logistics,0.238,2,2.92,1
C300058,69,18,41.55,768,75310.48,Two Year,West,Basic,Basic,0,Services,0.284,3,1.07,1
C300059,10,18,64.13,1247,90566.3,Month-to-Month,West,Standard,None,1,Services,0.125,0,3.85,1
C300060,56,13,74.02,1084,49184.72,One Year,West,Standard,Basic,0,Logistics,0.135,1,3.2,0
C300061,34,21,54.68,1304,107957.06,Month-to-Month,Northeast,Standard,None,0,Construction,0.5,2,5.67,0
C300062,49,12,32.29,327,26491.73,One Year,South,Basic,Full,0,Retail,0.132,3,0.0,0
C300063,20,17,35.63,513,41120.11,Month-to-Month,West,Basic,Full,0,Construction,0.113,3,0.0,0
C300064,2,17,44.74,708,60929.34,Two Year,West,Standard,Full,0,Construction,0.126,1,8.31,0
C300065,6,18,47.74,846,56323.04,One Year,West,Basic,Full,1,Construction,0.049,2,0.77,0
C300066,70,19,50.89,861,59319.89,One Year,Midwest,Standard,Basic,1,Retail,0.127,3,1.77,1
C300067,64,13,48.81,705,54718.0,Month-to-Month,West,Basic,None,1,Construction,0.1,1,5.46,1
C300068,22,16,67.02,1087,50556.92,Month-to-Month,Northeast,Standard,Basic,1,Services,0.162,1,3.55,0
C300069,31,14,54.06,631,47665.0,Month-to-Month,Midwest,Basic,Full,0,Logistics,0.088,2,4.78,1
C300070,18,19,59.96,1189,82607.07,Month-to-Month,West,Premium,Basic,1,Services,0.084,1,1.03,0
C300071,11,16,51.53,953,69080.5,Month-to-Month,South,Standard,Full,0,Retail,0.219,1,0.15,1
C300072,61,14,56.74,677,54127.56,Two Year,South,Standard,Basic,1,Services,0.094,1,0.53,0
C300073,48,14,40.24,461,29406.68,Month-to-Month,Midwest,Basic,Full,1,Logistics,0.2,2,0.0,0
C300074,6,14,43.19,512,22039.06,One Year,Northeast,Standard,Basic,1,Retail,0.134,1,1.96,0
C300075,15,12,62.18,746,28532.48,Month-to-Month,Midwest,Standard,Basic,1,Construction,0.311,0,1.86,0
C300076,41,14,27.33,387,27773.93,Month-to-Month,South,Basic,None,0,Logistics,0.136,3,2.26,0
C300077,65,16,32.33,564,49160.22,Two Year,West,Basic,None,0,Manufacturing,0.093,3,6.39,1
C300078,71,15,61.71,1067,95225.89,Month-to-Month,Midwest,Standard,None,0,Services,0.138,3,4.81,0
C300079,16,14,54.96,801,87490.33,Month-to-Month,West,Standard,Basic,0,Manufacturing,0.056,1,6.49,0
C300080,44,13,37.77,431,19040.58,Month-to-Month,South,Basic,Basic,0,Logistics,0.162,4,4.25,1
C300081,3,18,34.51,616,68057.08,Month-to-Month,Midwest,Standard,Basic,0,Manufacturing,0.154,3,1.01,1
C300082,13,23,63.66,1368,97876.17,Month-to-Month,West,Standard,None,0,Retail,0.088,1,9.67,0
C300083,15,16,42.75,673,41679.28,One Year,Northeast,Basic,Basic,1,Services,0.134,3,0.66,1
C300084,32,14,63.41,715,71910.67,One Year,Northeast,Basic,None,0,Manufacturing,0.315,2,6.43,0
C300085,25,21,52.86,1044,109125.89,Month-to-Month,Northeast,Basic,None,1,Services,0.316,1,2.64,0
C300086,52,12,51.02,708,45471.49,Month-to-Month,West,Standard,None,1,Retail,0.043,1,6.57,0
C300087,34,11,46.46,531,41267.59,Month-to-Month,West,Basic,None,0,Manufacturing,0.082,2,5.66,0
C300088,25,19,38.68,859,64600.2,Month-to-Month,West,Premium,Full,1,Logistics,0.085,1,2.24,0
C300089,65,11,36.12,380,31838.07,One Year,West,Premium,None,0,Logistics,0.161,3,8.32,0
C300090,45,13,38.08,581,28065.67,One Year,South,Premium,None,0,Construction,0.126,2,2.87,0
C300091,50,15,66.73,854,71520.86,Month-to-Month,Midwest,Basic,Full,0,Construction,0.124,3,3.52,1
C300092,53,15,58.65,853,60236.98,Month-to-Month,West,Standard,Basic,1,Retail,0.151,0,0.58,0
C300093,25,19,62.0,1283,62687.1,Month-to-Month,Midwest,Basic,None,0,Manufacturing,0.236,2,2.77,0
C300094,64,12,39.91,430,22835.98,One Year,Northeast,Basic,None,1,Manufacturing,0.121,3,6.85,0
C300095,2,22,42.29,798,61842.22,One Year,West,Basic,Full,0,Retail,0.303,4,2.47,1
C300096,22,15,24.71,341,29326.3,Month-to-Month,West,Standard,None,0,Retail,0.108,3,2.75,0
C300097,12,18,41.82,808,45233.4,Month-to-Month,Midwest,Basic,Basic,1,Logistics,0.114,2,2.82,0
C300098,1,13,42.9,500,32049.98,Month-to-Month,West,Premium,None,0,Construction,0.216,2,4.5,0
C300099,71,21,21.9,432,23992.16,Month-to-Month,Midwest,Standard,Basic,0,Retail,0.12,1,2.25,0
C300100,7,17,41.51,613,60969.1,One Year,South,Basic,None,0,Services,0.143,3,5.68,0
C300101,33,15,25.16,302,22421.93,Month-to-Month,Northeast,Basic,None,0,Logistics,0.248,3,8.53,1
C300102,59,15,45.85,608,25001.22,Month-to-Month,West,Standard,Basic,1,Services,0.101,4,4.91,0
C300103,50,22,57.73,1074,110243.76,One Year,Midwest,Basic,Full,0,Construction,0.193,4,2.6,1
C300104,61,18,42.65,761,32608.89,Month-to-Month,Northeast,Premium,Basic,1,Manufacturing,0.145,1,0.83,0
C300105,4,8,41.22,359,22158.2,Month-to-Month,Northeast,Premium,Basic,1,Manufacturing,0.047,1,3.25,0
C300106,36,13,47.52,562,41441.62,Two Year,Northeast,Standard,None,0,Logistics,0.127,1,6.15,0
C300107,3,20,44.96,942,90273.1,Month-to-Month,Midwest,Standard,Basic,0,Services,0.083,2,3.99,1
C300108,14,10,59.67,607,64281.26,One Year,Midwest,Basic,None,0,Manufacturing,0.045,2,2.74,1
C300109,61,15,35.17,475,27025.89,Month-to-Month,Northeast,Basic,Basic,0,Construction,0.261,2,3.42,1
C300110,6,7,51.39,289,18373.71,One Year,South,Standard,Basic,1,Services,0.127,0,0.33,0
C300111,42,11,42.93,547,48718.14,Two Year,West,Basic,Basic,0,Construction,0.169,3,9.98,0
C300112,2,14,27.0,340,11165.38,One Year,West,Standard,Basic,1,Services,0.058,2,2.26,0
C300113,22,26,46.38,1004,95505.59,One Year,South,Standard,Full,1,Retail,0.213,1,3.97,0
C300114,67,20,53.45,1140,99597.94,Month-to-Month,Northeast,Standard,None,1,Manufacturing,0.065,1,2.68,0
C300115,23,14,61.98,1017,32815.89,One Year,Northeast,Premium,Basic,0,Retail,0.202,3,4.9,1
C300116,22,9,27.78,264,16584.71,Month-to-Month,West,Standard,Basic,0,Services,0.183,1,9.28,1
C300117,7,21,36.77,867,54025.51,Month-to-Month,West,Standard,Full,0,Logistics,0.114,4,2.94,0
C300118,56,18,45.6,848,63792.44,One Year,South,Basic,None,0,Retail,0.204,6,7.99,1
C300119,13,16,13.35,248,27408.08,Month-to-Month,West,Premium,Basic,0,Manufacturing,0.233,1,3.36,1
C300120,36,18,39.55,781,57386.56,Two Year,South,Standard,Full,1,Logistics,0.157,1,0.0,0
C300121,2,11,49.67,611,42507.85,Month-to-Month,Midwest,Standard,Basic,1,Manufacturing,0.089,5,1.62,0
C300122,2,15,67.54,861,71318.34,Month-to-Month,West,Premium,Basic,0,Manufacturing,0.081,2,1.86,1
C300123,60,14,49.31,642,51503.85,One Year,South,Standard,None,0,Construction,0.191,2,3.99,0
C300124,1,15,29.55,488,31026.83,Month-to-Month,West,Premium,Basic,1,Logistics,0.131,1,0.31,1
C300125,34,10,51.23,541,36290.93,Month-to-Month,Northeast,Standard,None,1,Retail,0.3,4,6.67,0
C300126,31,12,55.56,592,46347.24,Month-to-Month,West,Standard,Basic,0,Retail,0.163,1,8.85,1
C300127,10,16,21.48,353,30718.94,One Year,South,Standard,Basic,0,Retail,0.067,3,3.57,1
C300128,46,13,49.09,679,27371.24,Month-to-Month,South,Premium,None,1,Manufacturing,0.222,0,3.74,0
C300129,53,16,66.92,1111,69586.67,Month-to-Month,Northeast,Basic,Full,0,Construction,0.186,4,0.83,1
C300130,70,16,50.24,822,57650.63,Two Year,West,Basic,None,1,Logistics,0.122,1,4.06,0
C300131,14,7,44.82,375,38496.58,Two Year,South,Basic,None,0,Logistics,0.304,2,4.99,1
C300132,66,17,33.96,587,44424.76,Month-to-Month,West,Basic,Full,0,Services,0.101,5,2.64,0
C300133,5,15,35.49,604,44498.34,Month-to-Month,Midwest,Premium,Full,1,Services,0.105,1,3.34,0
C300134,11,15,68.32,1228,106950.56,Month-to-Month,West,Standard,Full,0,Services,0.202,1,1.06,0
C300135,43,13,44.45,465,44651.53,Month-to-Month,Northeast,Standard,None,1,Services,0.144,1,4.25,0
C300136,62,15,55.14,895,98103.38,Two Year,Northeast,Standard,None,0,Retail,0.148,3,7.62,0
C300137,64,12,58.76,709,46492.62,Two Year,South,Basic,None,1,Retail,0.133,1,4.1,0
C300138,53,17,55.67,938,66096.35,Month-to-Month,South,Basic,Full,0,Logistics,0.242,3,3.52,1
C300139,2,30,46.52,1514,148899.11,Month-to-Month,South,Premium,None,0,Construction,0.087,3,2.95,1
C300140,30,21,49.94,930,60401.4,Two Year,South,Basic,None,1,Logistics,0.116,2,4.07,1
C300141,58,24,26.51,595,50132.8,One Year,Northeast,Standard,None,0,Logistics,0.151,1,12.43,0
C300142,38,17,33.67,624,48953.51,One Year,Northeast,Premium,Full,0,Construction,0.054,1,0.58,0
C300143,14,13,46.04,681,59070.49,Two Year,West,Standard,Basic,0,Construction,0.072,1,2.31,0
C300144,49,11,59.37,705,52554.78,Month-to-Month,South,Basic,Full,0,Construction,0.114,2,0.0,1
C300145,7,20,75.64,1398,86844.66,Month-to-Month,West,Premium,Full,0,Manufacturing,0.097,2,0.0,1
C300146,50,21,41.34,992,63419.53,Month-to-Month,Midwest,Basic,Full,0,Logistics,0.251,3,0.0,0
C300147,2,18,62.93,1295,75971.15,One Year,Northeast,Basic,None,0,Retail,0.135,4,5.84,0
C300148,26,18,56.22,1019,66222.17,Month-to-Month,South,Basic,Basic,0,Logistics,0.156,2,4.03,0
C300149,21,21,40.23,769,58131.94,Month-to-Month,Midwest,Standard,Basic,0,Construction,0.095,2,1.71,1
C300150,67,11,43.49,402,18092.56,Month-to-Month,Midwest,Basic,None,1,Services,0.064,1,2.86,0
C300151,52,13,31.25,476,20603.78,Month-to-Month,Northeast,Standard,Full,1,Logistics,0.239,1,2.42,1
C300152,47,11,57.37,649,58379.86,Month-to-Month,Midwest,Premium,None,0,Retail,0.346,1,2.56,1
C300153,36,18,67.53,1428,115296.72,One Year,Northeast,Standard,Basic,0,Manufacturing,0.219,4,9.65,0
C300154,21,17,42.56,704,47560.78,Month-to-Month,West,Standard,Full,0,Logistics,0.205,1,5.76,0
C300155,61,16,45.91,878,62072.02,Month-to-Month,Northeast,Standard,None,0,Construction,0.137,1,9.11,0
C300156,68,12,54.98,568,54977.88,One Year,South,Premium,None,0,Manufacturing,0.138,1,6.11,1
C300157,16,15,54.84,855,50843.71,Month-to-Month,Midwest,Basic,None,1,Manufacturing,0.155,2,2.47,0
C300158,18,19,35.53,545,46246.2,One Year,Northeast,Premium,None,0,Logistics,0.111,2,3.95,1
C300159,23,19,52.43,851,67511.07,Month-to-Month,Midwest,Basic,None,1,Construction,0.182,1,3.15,0
C300160,34,17,43.24,785,16008.62,Month-to-Month,South,Basic,Basic,0,Services,0.178,3,0.56,0
C300161,19,9,62.27,605,40600.27,Month-to-Month,Northeast,Basic,Basic,1,Logistics,0.116,1,3.41,0
C300162,29,11,55.57,705,54695.67,One Year,West,Basic,None,1,Retail,0.166,1,4.54,1
C300163,70,16,31.89,553,35379.15,One Year,Northeast,Standard,None,1,Logistics,0.085,0,5.22,0
C300164,27,15,47.52,654,46884.7,Two Year,South,Basic,None,1,Services,0.111,1,9.2,0
C300165,67,25,58.1,1350,98905.76,Month-to-Month,Midwest,Standard,None,0,Manufacturing,0.117,3,4.58,0
C300166,36,19,48.84,928,59773.7,One Year,Northeast,Standard,None,0,Logistics,0.033,2,6.81,1
C300167,25,16,32.9,514,24605.15,Month-to-Month,West,Standard,Full,0,Services,0.192,1,3.63,1
C300168,67,14,25.17,295,27807.31,Month-to-Month,South,Basic,None,0,Construction,0.145,3,11.87,1
C300169,31,17,36.55,549,34457.01,Two Year,South,Basic,Full,0,Manufacturing,0.13,3,0.0,0
C300170,55,23,39.2,799,66075.33,Month-to-Month,Midwest,Basic,None,0,Construction,0.147,2,7.38,0
C300171,23,13,37.62,497,32787.14,One Year,Midwest,Premium,None,1,Logistics,0.281,2,4.84,0
C300172,71,12,22.47,270,15649.84,Two Year,West,Standard,Basic,0,Construction,0.055,3,4.5,0
C300173,54,13,50.48,613,64831.42,Month-to-Month,Midwest,Basic,None,1,Manufacturing,0.151,2,4.38,0
C300174,63,17,49.42,673,38034.64,One Year,West,Premium,None,0,Logistics,0.081,1,2.53,0
C300175,3,17,34.91,631,49665.93,Two Year,West,Basic,None,1,Construction,0.182,2,5.53,0
C300176,8,22,54.31,1356,125441.59,Month-to-Month,West,Standard,None,0,Retail,0.186,2,6.37,0
C300177,5,20,48.43,1118,95923.28,Month-to-Month,Northeast,Standard,None,1,Manufacturing,0.166,1,4.96,1
C300178,38,24,39.1,812,61319.17,One Year,South,Standard,Basic,1,Manufacturing,0.031,0,2.51,0
C300179,29,16,49.84,823,45395.59,One Year,Midwest,Standard,Basic,1,Construction,0.117,1,1.17,0
C300180,70,12,37.83,506,53789.55,Two Year,South,Standard,None,1,Retail,0.068,0,3.32,0
C300181,18,9,49.64,502,38401.14,One Year,West,Standard,Basic,0,Construction,0.168,3,2.19,1
C300182,12,20,27.03,634,39457.41,One Year,Midwest,Basic,Basic,0,Logistics,0.117,2,2.09,0
C300183,61,14,41.77,678,44386.62,Month-to-Month,West,Premium,None,0,Manufacturing,0.122,2,4.84,0
C300184,22,12,27.41,313,21862.44,Two Year,Midwest,Premium,Basic,1,Construction,0.061,3,1.23,0
C300185,53,22,51.41,957,66007.18,Two Year,West,Basic,None,1,Services,0.102,3,8.82,1
C300186,21,14,61.88,786,38446.91,Month-to-Month,West,Premium,None,0,Services,0.256,4,3.5,0
C300187,39,10,67.95,791,36957.8,Two Year,South,Standard,Full,1,Manufacturing,0.126,3,1.03,0
C300188,6,18,42.37,763,72246.11,Month-to-Month,South,Premium,Basic,0,Logistics,0.136,2,2.55,1
C300189,47,17,28.81,437,34469.89,Two Year,West,Premium,Full,1,Retail,0.093,1,5.79,0
C300190,66,13,55.39,701,56919.49,Two Year,Midwest,Premium,Basic,0,Logistics,0.035,3,0.98,0
C300191,50,9,53.04,484,23955.21,One Year,Northeast,Basic,Basic,0,Logistics,0.045,2,3.78,0
C300192,63,12,33.52,426,21467.52,One Year,West,Standard,Basic,0,Manufacturing,0.273,1,5.45,1
C300193,56,14,56.05,796,56014.63,Month-to-Month,South,Basic,None,1,Logistics,0.255,1,9.41,0
C300194,41,10,48.48,524,46449.24,Month-to-Month,Northeast,Basic,None,1,Manufacturing,0.317,4,4.24,0
C300195,66,15,59.47,977,71087.56,Month-to-Month,South,Basic,None,0,Retail,0.214,2,2.85,0
C300196,35,14,36.91,467,36293.69,One Year,South,Basic,None,1,Retail,0.119,3,5.54,1
C300197,11,13,33.23,397,20536.27,One Year,South,Basic,None,0,Logistics,0.234,2,7.35,0
C300198,40,15,41.55,609,44059.91,One Year,West,Basic,None,1,Manufacturing,0.124,1,2.6,1
C300199,45,20,42.17,827,71413.76,Month-to-Month,South,Standard,Basic,0,Manufacturing,0.062,1,0.69,0
C300200,13,15,50.95,711,41722.61,Two Year,South,Premium,Full,0,Manufacturing,0.069,2,3.14,1
C300201,11,13,44.77,536,35530.78,One Year,West,Premium,None,0,Construction,0.14,1,5.1,0
C300202,48,17,46.69,728,66339.39,One Year,South,Standard,Basic,1,Logistics,0.312,0,1.48,0
C300203,32,24,56.63,1256,108969.4,One Year,South,Basic,None,1,Manufacturing,0.094,2,2.32,0
C300204,35,20,39.68,748,41503.23,Month-to-Month,West,Premium,Full,0,Logistics,0.068,2,5.54,1
C300205,56,15,36.27,552,37053.95,Month-to-Month,West,Premium,None,0,Logistics,0.064,1,5.37,0
C300206,49,13,57.59,717,53429.96,Two Year,South,Basic,Full,0,Logistics,0.151,6,0.0,0
C300207,64,16,34.34,539,11346.73,Month-to-Month,West,Standard,None,1,Construction,0.146,0,3.1,0
C300208,12,11,35.61,361,21917.2,Month-to-Month,West,Standard,Basic,0,Construction,0.119,1,3.15,0
C300209,54,10,39.7,359,28586.7,Two Year,Midwest,Premium,None,0,Construction,0.096,1,14.13,1
C300210,39,10,40.13,384,37033.54,Month-to-Month,Northeast,Standard,None,0,Services,0.13,2,5.26,1
C300211,3,18,61.66,1000,50150.96,Month-to-Month,West,Premium,Basic,1,Construction,0.157,2,1.25,0
C300212,6,21,23.99,512,34115.25,Month-to-Month,South,Standard,Basic,1,Services,0.23,1,1.84,1
C300213,26,24,51.54,1113,86718.86,Month-to-Month,Midwest,Standard,Basic,1,Construction,0.294,2,2.36,0
C300214,46,19,49.59,770,80461.04,Two Year,Midwest,Basic,Full,0,Construction,0.148,3,2.62,1
C300215,12,15,35.06,508,28929.1,One Year,Midwest,Premium,Full,1,Logistics,0.2,1,0.56,1
C300216,39,21,49.39,1087,129974.19,Two Year,South,Standard,None,1,Logistics,0.114,1,4.22,0
C300217,71,19,52.75,1082,72352.37,One Year,South,Basic,Full,1,Logistics,0.062,7,3.26,0
C300218,11,21,59.18,1326,91897.24,One Year,Northeast,Standard,Basic,0,Logistics,0.115,2,2.06,0
C300219,11,17,48.84,782,51046.26,Month-to-Month,Midwest,Standard,None,0,Manufacturing,0.049,1,4.98,0
C300220,69,16,35.46,519,28020.33,One Year,Midwest,Basic,Full,0,Services,0.346,4,0.0,1
C300221,18,18,65.45,1012,81040.88,Two Year,West,Standard,Basic,0,Services,0.148,1,3.19,1
C300222,63,19,47.24,1012,72539.61,Month-to-Month,West,Basic,Full,0,Manufacturing,0.159,2,9.39,0
C300223,26,14,54.68,859,42450.45,Two Year,West,Basic,None,0,Services,0.105,2,7.78,0
C300224,54,17,47.99,678,67761.57,One Year,West,Standard,Basic,1,Construction,0.059,1,0.98,0
C300225,5,18,48.16,931,50843.93,One Year,Midwest,Premium,None,1,Retail,0.052,0,6.81,0
C300226,45,17,49.13,770,53299.1,Two Year,Northeast,Standard,Basic,1,Retail,0.263,1,11.14,0
C300227,62,12,28.8,325,25648.59,Two Year,West,Premium,Full,1,Construction,0.048,1,2.93,1
C300228,25,17,56.86,1070,92513.11,One Year,Northeast,Premium,None,0,Retail,0.056,1,7.11,0
C300229,46,12,57.95,691,53676.94,Two Year,Midwest,Basic,None,1,Retail,0.098,1,3.47,0
C300230,16,18,54.53,1024,126450.66,One Year,Midwest,Basic,Full,0,Services,0.274,3,8.07,0
C300231,12,16,46.71,657,35746.48,Two Year,Northeast,Standard,None,0,Logistics,0.07,4,2.83,1
C300232,1,18,19.67,325,24060.0,Month-to-Month,South,Basic,Full,0,Services,0.233,3,0.47,1
C300233,36,12,35.97,507,27917.14,Month-to-Month,Northeast,Standard,Basic,0,Construction,0.037,1,1.37,0
C300234,38,17,45.16,776,68753.03,One Year,Midwest,Standard,None,0,Manufacturing,0.012,1,3.89,0
C300235,6,11,36.52,338,16072.0,Month-to-Month,West,Basic,Basic,0,Construction,0.166,3,2.61,1
C300236,17,15,50.38,640,52720.14,One Year,South,Premium,Basic,1,Manufacturing,0.131,1,1.67,0
C300237,44,16,53.69,920,76320.03,One Year,South,Standard,Basic,0,Construction,0.107,2,4.93,0
C300238,26,18,42.09,657,52409.21,Month-to-Month,West,Standard,Full,1,Construction,0.064,0,4.44,1
C300239,17,18,27.65,549,38862.54,Month-to-Month,Midwest,Basic,None,1,Logistics,0.114,2,2.78,0
C300240,1,14,24.76,381,32306.96,Month-to-Month,Northeast,Basic,None,0,Manufacturing,0.143,4,5.91,1
C300241,3,19,35.41,564,59116.85,One Year,West,Premium,Basic,0,Retail,0.282,2,1.94,1
C300242,46,15,55.29,945,64142.02,Month-to-Month,West,Premium,None,0,Manufacturing,0.112,1,5.53,0
C300243,9,23,61.76,1430,89631.2,Two Year,West,Premium,Basic,1,Construction,0.121,2,7.06,1
C300244,60,14,45.15,738,43106.2,Two Year,South,Premium,Full,0,Services,0.324,1,4.44,1
C300245,40,17,53.06,934,110327.76,Month-to-Month,Midwest,Basic,None,0,Logistics,0.193,2,12.87,1
C300246,18,17,57.65,972,104667.55,One Year,West,Standard,Basic,0,Logistics,0.128,2,4.41,0
C300247,46,16,56.44,1045,87118.18,Two Year,West,Basic,None,0,Logistics,0.122,3,3.57,0
C300248,12,15,36.22,527,38355.54,Month-to-Month,Northeast,Standard,None,0,Services,0.126,1,4.27,1
C300249,24,12,24.07,241,13829.97,Month-to-Month,West,Standard,Basic,1,Logistics,0.195,0,4.33,0
C300250,36,8,41.22,274,22542.64,Month-to-Month,South,Basic,None,1,Logistics,0.203,1,5.36,0
C300251,46,13,41.44,438,27391.74,Month-to-Month,West,Standard,Basic,0,Services,0.165,1,0.93,0
C300252,10,21,27.44,501,57767.58,One Year,South,Premium,Basic,0,Retail,0.104,2,1.87,1
